criterion,constraints,parameters,algorithm,precision
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_newuoa_bound,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_newuoa_bound,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_newuoa_bound,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_newuoa_bound,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_newuoa_bound,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_newuoa_bound,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_newuoa_bound,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_newuoa_bound,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_newuoa_bound,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_newuoa_bound,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_newuoa_bound,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_newuoa_bound,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_newuoa_bound,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_newuoa_bound,2
sum_of_squares,[],x_1,nlopt_neldermead,2
sum_of_squares,[],x_2,nlopt_neldermead,2
sum_of_squares,[],x_3,nlopt_neldermead,2
trid,[],x_1,nlopt_neldermead,2
trid,[],x_2,nlopt_neldermead,2
trid,[],x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,[],x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,[],x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,[],x_3,nlopt_neldermead,2
rosenbrock,[],x_1,nlopt_neldermead,2
rosenbrock,[],x_2,nlopt_neldermead,2
rosenbrock,[],x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_neldermead,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_neldermead,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_neldermead,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_neldermead,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_neldermead,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_neldermead,2
trid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'locs': ['x_1', 'x_2'], 'type': 'pairwise_equality'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]",x_3,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_neldermead,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_neldermead,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_neldermead,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_1,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_2,nlopt_neldermead,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]",x_3,nlopt_neldermead,2
sum_of_squares,[],x_1,nlopt_sbplx,2
sum_of_squares,[],x_2,nlopt_sbplx,2
sum_of_squares,[],x_3,nlopt_sbplx,2
trid,[],x_1,nlopt_sbplx,2
trid,[],x_2,nlopt_sbplx,2
trid,[],x_3,nlopt_sbplx,2
rotated_hyper_ellipsoid,[],x_1,nlopt_sbplx,2
rotated_hyper_ellipsoid,[],x_2,nlopt_sbplx,2
rotated_hyper_ellipsoid,[],x_3,nlopt_sbplx,2
rosenbrock,[],x_1,nlopt_sbplx,2
rosenbrock,[],x_2,nlopt_sbplx,2
rosenbrock,[],x_3,nlopt_sbplx,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_sbplx,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_sbplx,2
sum_of_squares,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_sbplx,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_sbplx,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_sbplx,2
trid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_sbplx,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_1,nlopt_sbplx,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_2,nlopt_sbplx,2
rosenbrock,"[{'loc': 'x_1', 'type': 'fixed', 'value': 1}]",x_3,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_1,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_2,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]",x_3,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_sbplx,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_sbplx,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_sbplx,2
trid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_1,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_2,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]",x_3,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_sbplx,2
rotated_hyper_ellipsoid,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_1,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_2,nlopt_sbplx,2
rosenbrock,"[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]",x_3,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_sbplx,2
sum_of_squares,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_3,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_1,nlopt_sbplx,2
trid,"[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]",x_2,nlopt_sbplx,2
